EmployeeID,Age,ExperienceYears,Department,JobRole,EducationLevel,Gender,EmploymentType,WorkingHours,OvertimeHours,PerformanceScore,MonthlySalary,SalaryLevel
EMP0001,59,37,Finance,Financial Analyst,Diploma,Male,Full-Time,41.4,5.2,80.4,151247,Very High
EMP0002,49,22,Sales,Sales Manager,Diploma,Female,Full-Time,51.3,7.9,95.1,120029,Very High
EMP0003,35,17,Marketing,SEO Specialist,Master,Male,Full-Time,44.9,3.2,64.1,109758,Very High
EMP0004,28,5,Finance,Accountant,Master,Male,Full-Time,45.3,6.0,93.1,100432,Very High
EMP0005,41,18,HR,HR Executive,High School,Female,Full-Time,45.4,7.2,87.1,94030,High
EMP0006,59,38,IT,System Administrator,Bachelor,Female,Full-Time,38.7,7.5,69.3,151037,Very High
EMP0007,39,14,IT,System Administrator,Bachelor,Female,Part-Time,39.2,0.3,67.4,106995,Very High
EMP0008,43,22,Sales,Sales Manager,Bachelor,Male,Full-Time,46.6,11.8,69.4,119642,Very High
EMP0009,31,6,IT,Data Analyst,Bachelor,Female,Full-Time,42.8,3.7,50.9,92275,High
EMP0010,31,6,Sales,Business Development,High School,Female,Contract,34.9,1.8,76.4,64382,Medium
EMP0011,44,22,Marketing,Marketing Manager,Bachelor,Female,Full-Time,53.2,1.7,66.7,105984,Very High
EMP0012,56,35,IT,Data Analyst,Master,Female,Contract,47.9,4.0,83.7,157451,Very High
EMP0013,60,41,Sales,Sales Manager,Bachelor,Female,Full-Time,42.2,13.1,64.8,154925,Very High
EMP0014,44,24,Finance,Finance Manager,Bachelor,Male,Full-Time,40.4,2.9,88.6,132065,Very High
EMP0015,23,3,Operations,Operations Executive,Diploma,Male,Full-Time,43.2,8.3,80.4,69683,Medium
EMP0016,42,21,HR,Recruiter,PhD,Female,Full-Time,45.1,0.6,68.7,130833,Very High
EMP0017,22,1,Marketing,Marketing Manager,Master,Male,Full-Time,29.8,3.9,76.0,84414,High
EMP0018,44,17,Sales,Business Development,Master,Female,Full-Time,54.7,28.7,72.9,121143,Very High
EMP0019,50,28,IT,System Administrator,Master,Male,Full-Time,37.3,8.8,95.5,162941,Very High
EMP0020,58,37,Sales,Business Development,Master,Female,Full-Time,42.0,1.4,68.7,172738,Very High
EMP0021,22,0,Operations,Operations Executive,Bachelor,Female,Full-Time,42.2,4.2,69.5,63778,Medium
EMP0022,41,16,Sales,Business Development,Bachelor,Male,Full-Time,54.0,1.6,68.1,112543,Very High
EMP0023,53,30,Marketing,SEO Specialist,Bachelor,Male,Full-Time,41.5,3.2,79.6,137322,Very High
EMP0024,32,9,Operations,Operations Executive,Master,Male,Full-Time,51.5,9.1,79.3,90864,High
EMP0025,42,17,IT,System Administrator,Master,Female,Contract,44.4,8.9,67.1,131368,Very High
EMP0026,45,21,IT,Software Engineer,Bachelor,Female,Full-Time,36.2,1.6,72.6,138518,Very High
EMP0027,47,20,Sales,Sales Manager,High School,Male,Contract,42.8,15.3,86.3,108539,Very High
EMP0028,48,21,HR,HR Manager,Bachelor,Female,Full-Time,41.3,5.4,92.7,120273,Very High
EMP0029,36,11,Operations,Operations Manager,Master,Male,Full-Time,35.5,2.9,80.2,104370,Very High
EMP0030,35,16,Operations,Supply Coordinator,Bachelor,Male,Full-Time,44.1,4.2,73.7,99747,High
EMP0031,23,0,Finance,Finance Manager,Bachelor,Female,Full-Time,42.1,5.6,68.4,80415,High
EMP0032,57,39,IT,System Administrator,Bachelor,Male,Full-Time,45.3,4.9,87.6,167339,Very High
EMP0033,27,2,Marketing,Marketing Manager,Bachelor,Male,Full-Time,43.2,4.0,74.6,85228,High
EMP0034,41,20,Finance,Finance Manager,Master,Male,Full-Time,38.1,4.2,56.6,124054,Very High
EMP0035,29,8,Operations,Operations Executive,Bachelor,Male,Full-Time,46.6,1.2,80.7,84959,High
EMP0036,59,37,HR,HR Manager,Master,Male,Full-Time,38.3,10.1,69.4,154481,Very High
EMP0037,38,13,Sales,Business Development,Bachelor,Male,Full-Time,23.4,4.7,57.5,88519,High
EMP0038,24,2,IT,Software Engineer,Bachelor,Female,Full-Time,42.8,0.8,52.4,77339,High
EMP0039,45,20,Sales,Sales Executive,Bachelor,Male,Part-Time,38.7,8.7,73.1,92524,High
EMP0040,34,7,HR,HR Executive,Master,Female,Full-Time,44.3,16.2,59.1,83357,High
EMP0041,29,11,Sales,Sales Executive,Bachelor,Male,Full-Time,54.0,17.7,44.2,93941,High
EMP0042,46,19,IT,Software Engineer,Bachelor,Male,Full-Time,54.2,2.8,72.0,111318,Very High
EMP0043,22,0,Marketing,Marketing Executive,Bachelor,Female,Full-Time,41.0,0.9,66.0,72139,High
EMP0044,40,17,Operations,Supply Coordinator,Master,Female,Full-Time,37.0,4.4,73.8,102789,Very High
EMP0045,48,28,IT,System Administrator,High School,Male,Full-Time,45.5,0.7,71.3,137706,Very High
EMP0046,27,2,IT,Data Analyst,Master,Female,Full-Time,39.8,16.3,92.0,90708,High
EMP0047,28,2,IT,System Administrator,Bachelor,Female,Full-Time,44.4,1.2,78.5,76740,High
EMP0048,55,32,Sales,Business Development,Bachelor,Female,Contract,38.0,1.7,73.7,140957,Very High
EMP0049,34,10,Sales,Sales Executive,High School,Male,Contract,43.5,3.1,73.3,79548,High
EMP0050,37,19,Sales,Sales Executive,Bachelor,Male,Full-Time,37.1,2.9,93.3,125720,Very High
EMP0051,56,34,IT,System Administrator,Bachelor,Male,Full-Time,49.1,9.5,90.6,148562,Very High
EMP0052,60,38,Finance,Accountant,High School,Female,Full-Time,38.5,3.7,64.2,142062,Very High
EMP0053,24,0,Sales,Sales Executive,Bachelor,Male,Full-Time,46.0,1.1,60.1,61715,Medium
EMP0054,22,1,HR,HR Manager,Master,Female,Full-Time,34.4,1.9,62.6,69339,Medium
EMP0055,26,3,Operations,Supply Coordinator,Diploma,Male,Full-Time,46.7,4.3,66.8,70151,High
EMP0056,24,0,IT,Data Analyst,Master,Male,Contract,36.2,1.0,64.7,87246,High
EMP0057,49,23,Sales,Sales Manager,Bachelor,Female,Full-Time,43.6,5.7,77.3,120297,Very High
EMP0058,38,20,HR,HR Executive,Bachelor,Male,Full-Time,48.1,5.0,85.1,125444,Very High
EMP0059,46,23,HR,Recruiter,Bachelor,Male,Full-Time,40.8,7.5,87.5,116725,Very High
EMP0060,54,30,Marketing,Marketing Manager,Diploma,Female,Full-Time,35.8,16.7,73.1,139074,Very High
EMP0061,30,10,Sales,Business Development,Diploma,Female,Full-Time,45.0,14.6,52.7,83381,High
EMP0062,56,31,Operations,Operations Manager,High School,Female,Contract,37.0,17.5,64.6,109245,Very High
EMP0063,34,12,IT,Data Analyst,Diploma,Female,Full-Time,39.6,1.7,68.5,109246,Very High
EMP0064,51,25,IT,Data Analyst,Bachelor,Female,Full-Time,43.6,0.8,63.2,125009,Very High
EMP0065,35,13,Marketing,SEO Specialist,Master,Female,Full-Time,50.2,2.2,88.6,123046,Very High
EMP0066,28,2,Sales,Sales Executive,Master,Male,Full-Time,42.2,13.5,56.3,82125,High
EMP0067,34,7,Finance,Accountant,Master,Male,Full-Time,42.1,21.5,77.9,105286,Very High
EMP0068,43,22,IT,Software Engineer,Diploma,Male,Full-Time,46.4,11.8,55.5,119133,Very High
EMP0069,60,34,IT,System Administrator,Bachelor,Male,Full-Time,42.3,0.7,88.3,162626,Very High
EMP0070,41,19,Operations,Operations Manager,Bachelor,Female,Part-Time,45.8,17.7,72.4,93745,High
EMP0071,36,9,IT,Software Engineer,Bachelor,Female,Full-Time,48.5,3.3,91.9,106687,Very High
EMP0072,38,12,Finance,Accountant,Bachelor,Female,Full-Time,40.0,0.1,61.4,99086,High
EMP0073,44,24,IT,System Administrator,Bachelor,Male,Full-Time,22.3,3.5,70.7,130040,Very High
EMP0074,46,25,Finance,Finance Manager,Bachelor,Female,Full-Time,37.1,0.3,73.8,127407,Very High
EMP0075,45,19,IT,System Administrator,Bachelor,Male,Full-Time,49.3,4.7,74.2,120251,Very High
EMP0076,49,22,Sales,Sales Manager,Master,Female,Full-Time,41.8,2.5,73.0,144723,Very High
EMP0077,35,12,IT,Data Analyst,Master,Female,Full-Time,40.0,3.8,70.5,112010,Very High
EMP0078,21,2,Marketing,Marketing Executive,Bachelor,Male,Full-Time,49.0,5.7,67.5,79471,High
EMP0079,45,21,IT,System Administrator,Master,Male,Full-Time,41.4,12.2,50.6,122573,Very High
EMP0080,27,8,Sales,Sales Manager,PhD,Male,Part-Time,29.4,6.5,84.9,98146,High
EMP0081,29,10,Operations,Supply Coordinator,Bachelor,Female,Full-Time,33.0,3.4,100.0,121935,Very High
EMP0082,44,26,Sales,Business Development,Bachelor,Female,Full-Time,44.5,10.3,80.5,134155,Very High
EMP0083,21,1,Sales,Sales Executive,Bachelor,Female,Full-Time,41.6,14.2,56.5,70948,High
EMP0084,28,5,Finance,Financial Analyst,Master,Male,Part-Time,50.7,0.8,60.7,83412,High
EMP0085,44,19,Finance,Financial Analyst,Master,Male,Full-Time,37.6,4.6,83.4,140841,Very High
EMP0086,31,5,Sales,Sales Executive,Diploma,Female,Full-Time,40.1,2.0,77.6,80015,High
EMP0087,37,13,Operations,Supply Coordinator,Bachelor,Female,Full-Time,36.7,0.3,71.8,101444,Very High
EMP0088,28,7,Sales,Sales Executive,Bachelor,Male,Full-Time,38.9,6.6,81.8,81620,High
EMP0089,55,32,Sales,Sales Executive,Bachelor,Male,Full-Time,30.6,11.9,53.4,140977,Very High
EMP0090,55,33,Marketing,Marketing Executive,Diploma,Female,Full-Time,39.7,1.1,89.1,139128,Very High
EMP0091,53,28,HR,HR Executive,Master,Male,Full-Time,41.7,10.0,80.4,147442,Very High
EMP0092,25,7,IT,System Administrator,Bachelor,Male,Full-Time,41.2,11.5,60.1,75429,High
EMP0093,59,41,Sales,Sales Executive,Master,Male,Full-Time,54.9,14.7,62.8,173591,Very High
EMP0094,48,25,Operations,Supply Coordinator,Master,Female,Full-Time,53.0,1.8,79.4,121097,Very High
EMP0095,27,0,IT,Data Analyst,Master,Female,Full-Time,37.5,14.1,86.8,91449,High
EMP0096,29,10,Sales,Business Development,Bachelor,Female,Full-Time,29.7,2.3,71.4,80051,High
EMP0097,28,6,IT,System Administrator,Bachelor,Female,Contract,41.4,4.8,62.5,85506,High
EMP0098,32,14,Sales,Sales Executive,Diploma,Male,Contract,44.3,0.3,77.8,92515,High
EMP0099,54,30,IT,Data Analyst,Bachelor,Male,Part-Time,36.8,0.3,100.0,133604,Very High
EMP0100,53,35,HR,Recruiter,Diploma,Female,Full-Time,37.1,7.6,84.8,151721,Very High
EMP0101,43,22,Marketing,SEO Specialist,Master,Male,Full-Time,51.5,3.5,83.4,126313,Very High
EMP0102,44,18,Finance,Accountant,Bachelor,Female,Full-Time,40.5,1.8,90.9,98197,High
EMP0103,57,39,Sales,Business Development,Diploma,Male,Full-Time,46.0,1.3,87.2,158915,Very High
EMP0104,55,34,Marketing,SEO Specialist,Diploma,Male,Full-Time,36.4,6.7,70.1,123969,Very High
EMP0105,60,37,Operations,Supply Coordinator,High School,Male,Full-Time,41.7,0.0,60.3,128450,Very High
EMP0106,42,19,IT,System Administrator,Master,Male,Full-Time,40.0,9.8,64.2,123649,Very High
EMP0107,47,22,Finance,Finance Manager,Master,Male,Full-Time,37.9,0.5,64.2,120902,Very High
EMP0108,55,37,IT,Data Analyst,Bachelor,Male,Full-Time,48.9,1.3,89.0,160094,Very High
EMP0109,21,0,Operations,Operations Executive,Diploma,Female,Contract,33.7,2.9,81.1,49548,Medium
